Name: MX-QAR-VMDmLNmBOOSTVMAT, Length unit: mm,  Dose unit: mGy
,-118.1,-110.5,-102.9,-95.2,-87.6,-80.0,-72.4,-64.8,-57.1,-49.5,-41.9,-34.3,-26.7,-19.0,-11.4,-3.8,3.8,11.4,19.0,26.7,34.3,41.9,49.5,57.1,64.8,72.4,80.0,87.6,95.2,102.9,110.5,118.1
-118.1,193.671338000001,340.165272999999,438.661685000002,555.149479500002,743.572049499997,990.633199499993,1283.5800635,1483.18701999999,1628.24574499999,1685.27483949999,1685.72590549999,1601.21253949999,1436.18389249999,1215.991924,940.933927500001,620.410528499999,366.829424500003,234.236523500001,205.583581,176.151524500001,154.0492905,145.120234,141.132400500001,122.7617125,115.4216385,110.429158,114.827051500001,104.1039825,106.390067000001,107.015408499999,115.657423000001,20.400485
-110.5,438.876966499997,603.967122499998,887.216067499996,1148.393533,1324.452794,1513.19316049999,1722.96960499999,1874.50727799999,1960.96842899999,1966.57599949999,1939.76832699999,1858.41242299999,1715.18871649999,1511.96298049999,1234.16783349999,830.699547999998,514.584294,316.914871,256.841081,216.655201,186.023719000001,170.369678499999,162.394011500001,145.602054500001,137.359848499998,138.702795,144.792186,141.798747999999,136.560231500001,139.266627499999,144.617910500001,137.544375499998
-102.9,671.093944499997,944.583461499994,1241.85645849999,1445.87156,1631.526225,1801.25005899999,1942.7720165,2012.0721565,2003.48139949999,2018.46909249999,2034.84073799999,1975.52555899999,1841.0771365,1625.74437899999,1412.943742,994.251978999996,617.622120500001,408.901580499999,309.431276000001,260.2138245,222.959873499999,201.800777500001,187.274402000002,174.234494000001,167.878564,167.1712105,171.3128165,167.427498000001,161.122825500001,158.600956500001,157.145243500002,153.106152499999
-95.2,857.097160499997,1234.22934249999,1523.50616949999,1763.14523349999,1949.34322799999,2034.635708,2044.75393849999,2052.88337799999,2037.03455899999,2062.273752,2099.04588249999,2071.61286849999,1929.55783299999,1674.05969849999,1466.91788949999,1194.422768,817.413603999998,511.303813999997,350.314257999999,279.261111500001,240.992261999999,218.295440999999,206.270431499999,187.469180500001,175.290398500001,168.104097,167.1917135,168.698684000001,170.605462999999,164.751856500001,156.7351835,150.389504999999
-87.6,976.926943999998,1410.39111849999,1771.97177499999,2007.16168799999,2110.70183799999,2032.913456,2014.30698349999,2071.71538349999,2091.10096999999,2079.91658349999,2107.39060349999,2089.23519699999,1977.698877,1721.493389,1512.46530399999,1284.799992,979.448812999997,591.6243165,382.104159499997,303.136854999999,263.402040999999,245.759209499999,241.832885000001,218.592734500002,195.906165000001,182.0358855,183.655622500001,183.368580500001,185.111335499999,180.610927,169.313774000001,162.6605505
-80.0,1150.033773,1680.98971249999,2025.47086699999,2097.33388199999,2045.11274099999,2002.81505199999,2049.02881399999,2097.36463649999,2160.71890649999,2173.00020349999,2183.02617049999,2127.698825,2002.68178249999,1725.26594099999,1487.882207,1265.465663,941.969328999996,575.816503499999,395.687397,328.2017725,293.049379,270.916390500001,251.776839999999,230.915037500002,216.183632000002,204.486670500001,195.260320500002,190.626642500001,199.299411500003,197.105590500003,180.754447999999,163.8087185
-72.4,1349.8662625,1859.28380049999,2028.935874,2076.25679799999,2059.6596195,2085.749687,2130.05667,2141.89715249999,2174.8044675,2185.52753649999,2211.105029,2154.4654915,2048.52649049999,1746.7018275,1479.209438,1268.3668375,992.375954499995,647.761530500001,452.039892500002,358.966524,318.0937935,291.378384500001,270.096270499999,253.335067999999,233.221624999998,213.713020500001,201.821280500002,189.929540500001,184.3937305,190.964942000001,182.907262999999,165.725748999998
-64.8,1403.3585895,1890.1613185,2044.6719265,2038.428763,2022.02636299999,2034.20514499999,2116.6169535,2165.03478799999,2232.0488435,2252.193041,2234.6322215,2172.764419,2025.12231599999,1760.17229849999,1485.606374,1321.5106135,1124.733071,782.661019000003,500.088672999997,374.159247000001,324.131927,296.083823,271.111169,244.805820000002,225.707275499998,210.678576500001,197.095339000002,181.943622000002,171.446086,168.093845500001,160.917795499999,157.7398305
-57.1,1437.998408,1841.0566335,2030.36083249999,2070.32117949999,2073.43763549999,2059.259811,2126.612166,2178.67953449999,2250.634813,2267.65230299999,2268.52368049999,2170.8268855,2017.515703,1754.06240449999,1509.143818,1351.5065025,1214.1158995,947.361618,570.485723500001,399.890512,337.438374,302.316735,274.524918499999,250.515905500002,231.632642500002,219.740902500001,204.435413000001,187.745971000002,179.790806999999,171.138541,164.434059999999,158.344668999999
